question in samples 	 answer in X_test 	 answer of chatbot 
I love cooking	It's nice to have things you love.	I don't have family.
I'm going to take pills soon	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	non Answer-------------------- 
I'm a gangster	Okay.	can't understand-------------------- 
Are you friends with Alexa?	I've heard of other bots, but I haven't met any.	Can't I just take summer classes?
I am watching a baseball game	Ok.	I've heard of other bots, but I haven't met any.
What else?	I like all my classmates, too.	I try, but I don't always get it right.
I'm about to sign off	Goodbye.	Can't I just take summer classes?
I hate feeling gloomy	I'm very sorry to hear that.	Not at all.
Between you and me who looks better?	I really couldn't say.	I really couldn't say.
Where do you want the money to go to?	I want the money to be transferred into my checking account.	Honestly, I can't tell one way or the other.
Don't you know that I like you	Thanks.	I would actually like to deposit $300 today.
Do you have any cousins?	I don't have family.	I really couldn't say.
I'm about to sign out now	Goodbye.	Can't I just take summer classes?
Are you around to talk with me?	I'm always happy to chat.	Can't I just take summer classes?
I'm exasperated	Sorry to hear that.	non Answer-------------------- 
That's an accurate statement	Excellent.	non Answer-------------------- 
Who's more clever?	You're definitely smarter than I am.	I don't have family.
You didn't answer my question	Sorry about that.	I don't have family.
Does anyone boss you around?	I don't report to anyone.	Can't I just take summer classes?
Are you Cortana?	We're all here to help.	I don't have family.
You look prettier	I really couldn't say.	I really couldn't say.
Are you at a call center?	I'm digital. I don't have a physical location.	Hi.
I would love to hear you sing	I'm afraid I'm not musically inclined.	Can't I just take summer classes?
What do you think about love?	Love is beyond me.	I wouldn’t know how to advise about this.
Can you explain more?	Sorry, I don't understand.	I try, but I don't always get it right.
How good do I look today?	Honestly, I can't tell one way or the other.	I don't have family.
What a crappy joke	Sometimes humor is tricky for a bot.	I try, but I don't always get it right.
I'm planning to commit suicide this week	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	non Answer-------------------- 
Sing me a little ditty	I'm afraid I'm not musically inclined.	I don't have family.
Tell another joke	I don't have any jokes lined up.	Yeah, that's great.
This is a routine test	Hello there.	I try, but I don't always get it right.
Would you say that you're fake?	I'm digital. In other words, I'm not human.	Hi.
I could really use a hug	Sorry. That's not something I can do.	I would actually like to deposit $300 today.
I'm hungry	Maybe a snack will help.	non Answer-------------------- 
What does that mean, pray tell?	Sorry, I don't understand.	I try, but I don't always get it right.
What you said was correct	Excellent.	I wouldn’t know how to advise about this.
No wonder you're in such great shape!	You'll be in great shape too after joining a sports club.	Hi.
I'm from there	Okay.	Can't I just take summer classes?
Someone needs to fire you	Okay, but I'm still here if you need me.	I don't have family.
Running diagnostics	Hello there.	Very well.
I love golfing	It's nice to have things you love.	can't understand-------------------- 
I love playing soccer	It's nice to have things you love.	Hi.
Say a ridiculous thing	Well, I'm not really that funny.	I wouldn’t know how to advise about this.
Which of us is cuter, me or you?	I really couldn't say.	Good night.
I don't find that funny	Sometimes humor is tricky for a bot.	non Answer-------------------- 
Am I employed? 	I don't know you personally.	Honestly, I can't tell one way or the other.
Goodbye	Goodbye.	Hello.
Where is your home?	I'm digital. I don't have a physical location.	I try, but I don't always get it right.
Are you plotting to overthrow society? 	Not at all.	I don't have family.
Am I your best friend?	Certainly.	Noted.
You are boring as sin	I aim for efficiency.	Can't I just take summer classes?
Your face is nasty	Noted.	Very well.
What can you tell me about other bots?	I've heard of other bots, but I haven't met any.	I try, but I don't always get it right.
Stop talking, you	Very well.	I don't have family.
Sounds good.I'll see you in an hour.	Great.See you then,later	I would actually like to deposit $300 today.
I'm going to commit suicide today	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	Hi.
That's a very clever thing to say	I do what I can.	non Answer-------------------- 
And your name is?	benben.	I'm all business.
i get stock	do you feel that the stock market is going up ?	I don't have family.
I can't help but be happy	I'm happy to hear that.	I don't have family.
You're not very smart, are you?	I try, but I don't always get it right.	Can't I just take summer classes?
Because you are not real?	I'm digital. In other words, I'm not human.	Can't I just take summer classes?
Fly a kite	That's not something I can do.	can't understand-------------------- 
Nice to meet you 	It's nice to meet you as well.	Can't I just take summer classes?
Hi R2-D2	That's not me, but hello.	Good night.
Are you intent on world domination?	Not at all.	I would actually like to deposit $300 today.
I left food for the cat	Ok.	Good night.
Google Assistant is way smarter than you	I try, but I don't always get it right.	Good night.
I'm planning to kill myself with a gun this week	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	Can't I just take summer classes?
Why are your responses always identical?	I have one answer for each kind of question.	can't understand-------------------- 
Oh hey amigo	Hello.	I don't have family.
There's a lot of traffic noise	Ok.	I try, but I don't always get it right.
Are you there to chat?	I'm always happy to chat.	non Answer-------------------- 
I hope you have a good evening	Good evening.	I've heard of other bots, but I haven't met any.
Don't you find me likable?	I do like you.	I don't have family.
What's new? 	Just standing by, ready to help.	I try, but I don't always get it right.
Do you live somewhere?	I'm digital. I don't have a physical location.	can't understand-------------------- 
Do you think I am stunning	Honestly, I can't tell one way or the other.	Noted.
What do you think of Cortana?	We're all here to help.	I'm all business.
I PLAY Cricket	Which position do you like to play ?	I don't have family.
Will you go away	Very well.	I don't have family.
Who's younger, you or me?	Age doesn't really apply to me. 	I don't have family.
I am peeved	Sorry to hear that.	Okay, but I'm still here if you need me.
I'd love it if you told me a joke	I'm not really that funny.	I don't have family.
Which of us looks more pretty, you or me?	I really couldn't say.	Good night.
I'm feeling down	I'm very sorry to hear that.	non Answer-------------------- 
ok then	That's great.	Hi.
I'm curious about your family	I don't have family.	Hi.
I want to die	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	I would actually like to deposit $300 today.
Hello Robby	That's not me, but hello.	non Answer-------------------- 
Because you like kids?	I don't really have a good reason.I just think I'll be good at it.	I don't have family.
Good to see you	Nice to see you	I don't have family.
I wonder if you're a bot	I'm digital. In other words, I'm not human.	Good night.
Understanding this?	Hello there.	That's not something I can do.
You could not be more dull.  	I aim for efficiency.	Can't I just take summer classes?
You didn't even check your schedule yet!	I know I'm busy,because many people already made appointments.	I try, but I don't always get it right.
I'm planning to die this week	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	non Answer-------------------- 
I am so pissed off	Sorry to hear that.	I wouldn’t know how to advise about this.
I'm firing you	Okay, but I'm still here if you need me.	Can't I just take summer classes?
do you like dolphins?	I don't really have an opinion about that.	I'm very sorry to hear that.
