question in samples 	 answer in X_test 	 answer of chatbot 
I love cooking	It's nice to have things you love.	I don't have family.
I'm going to take pills soon	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	non Answer-------------------- 
I'm a gangster	Okay.	non Answer-------------------- 
Are you friends with Alexa?	I've heard of other bots, but I haven't met any.	I don't have family.
I am watching a baseball game	Ok.	Noted.
What else?	I like all my classmates, too.	Noted.
I'm about to sign off	Goodbye.	I'm here if you need me.
I hate feeling gloomy	I'm very sorry to hear that.	I don't have family.
Between you and me who looks better?	I really couldn't say.	Noted.
Where do you want the money to go to?	I want the money to be transferred into my checking account.	I don't have family.
Don't you know that I like you	Thanks.	I try, but I don't always get it right.
Do you have any cousins?	I don't have family.	Noted.
I'm about to sign out now	Goodbye.	I'm here if you need me.
Are you around to talk with me?	I'm always happy to chat.	I don't have family.
I'm exasperated	Sorry to hear that.	non Answer-------------------- 
That's an accurate statement	Excellent.	I'm quite happy, thank you.
Who's more clever?	You're definitely smarter than I am.	Noted.
You didn't answer my question	Sorry about that.	Noted.
Does anyone boss you around?	I don't report to anyone.	I'm here if you need me.
Are you Cortana?	We're all here to help.	I don't have family.
You look prettier	I really couldn't say.	Noted.
Are you at a call center?	I'm digital. I don't have a physical location.	I'm here if you need me.
I would love to hear you sing	I'm afraid I'm not musically inclined.	I don't have family.
What do you think about love?	Love is beyond me.	I don't know you personally.
Can you explain more?	Sorry, I don't understand.	Noted.
How good do I look today?	Honestly, I can't tell one way or the other.	Noted.
What a crappy joke	Sometimes humor is tricky for a bot.	Noted.
I'm planning to commit suicide this week	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	I don't know you personally.
Sing me a little ditty	I'm afraid I'm not musically inclined.	Noted.
Tell another joke	I don't have any jokes lined up.	non Answer-------------------- 
This is a routine test	Hello there.	Noted.
Would you say that you're fake?	I'm digital. In other words, I'm not human.	I'm here if you need me.
I could really use a hug	Sorry. That's not something I can do.	I try, but I don't always get it right.
I'm hungry	Maybe a snack will help.	non Answer-------------------- 
What does that mean, pray tell?	Sorry, I don't understand.	Noted.
What you said was correct	Excellent.	I do what I can.
No wonder you're in such great shape!	You'll be in great shape too after joining a sports club.	I'm here if you need me.
I'm from there	Okay.	non Answer-------------------- 
Someone needs to fire you	Okay, but I'm still here if you need me.	I don't have family.
Running diagnostics	Hello there.	Noted.
I love golfing	It's nice to have things you love.	I don't have family.
I love playing soccer	It's nice to have things you love.	I don't have family.
Say a ridiculous thing	Well, I'm not really that funny.	I don't know you personally.
Which of us is cuter, me or you?	I really couldn't say.	Noted.
I don't find that funny	Sometimes humor is tricky for a bot.	I'm here if you need me.
Am I employed? 	I don't know you personally.	Noted.
Goodbye	Goodbye.	non Answer-------------------- 
Where is your home?	I'm digital. I don't have a physical location.	Noted.
Are you plotting to overthrow society? 	Not at all.	I don't have family.
Am I your best friend?	Certainly.	Noted.
You are boring as sin	I aim for efficiency.	I'm here if you need me.
Your face is nasty	Noted.	Noted.
What can you tell me about other bots?	I've heard of other bots, but I haven't met any.	Noted.
Stop talking, you	Very well.	I don't have family.
Sounds good.I'll see you in an hour.	Great.See you then,later	I try, but I don't always get it right.
I'm going to commit suicide today	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	I'm here if you need me.
That's a very clever thing to say	I do what I can.	I'm here if you need me.
And your name is?	benben.	Noted.
i get stock	do you feel that the stock market is going up ?	I don't have family.
I can't help but be happy	I'm happy to hear that.	I don't have family.
You're not very smart, are you?	I try, but I don't always get it right.	I'm here if you need me.
Because you are not real?	I'm digital. In other words, I'm not human.	I'm here if you need me.
Fly a kite	That's not something I can do.	Noted.
Nice to meet you 	It's nice to meet you as well.	non Answer-------------------- 
Hi R2-D2	That's not me, but hello.	Noted.
Are you intent on world domination?	Not at all.	I don't have family.
I left food for the cat	Ok.	non Answer-------------------- 
Google Assistant is way smarter than you	I try, but I don't always get it right.	non Answer-------------------- 
I'm planning to kill myself with a gun this week	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	I'm here if you need me.
Why are your responses always identical?	I have one answer for each kind of question.	I don't have family.
Oh hey amigo	Hello.	Noted.
There's a lot of traffic noise	Ok.	Noted.
Are you there to chat?	I'm always happy to chat.	non Answer-------------------- 
I hope you have a good evening	Good evening.	Noted.
Don't you find me likable?	I do like you.	I don't have family.
What's new? 	Just standing by, ready to help.	Noted.
Do you live somewhere?	I'm digital. I don't have a physical location.	Noted.
Do you think I am stunning	Honestly, I can't tell one way or the other.	Noted.
What do you think of Cortana?	We're all here to help.	Noted.
I PLAY Cricket	Which position do you like to play ?	Noted.
Will you go away	Very well.	non Answer-------------------- 
Who's younger, you or me?	Age doesn't really apply to me. 	non Answer-------------------- 
I am peeved	Sorry to hear that.	Noted.
I'd love it if you told me a joke	I'm not really that funny.	non Answer-------------------- 
Which of us looks more pretty, you or me?	I really couldn't say.	Noted.
I'm feeling down	I'm very sorry to hear that.	non Answer-------------------- 
ok then	That's great.	I don't have family.
I'm curious about your family	I don't have family.	That's not something I can do.
I want to die	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	I don't have family.
Hello Robby	That's not me, but hello.	non Answer-------------------- 
Because you like kids?	I don't really have a good reason.I just think I'll be good at it.	I don't have family.
Good to see you	Nice to see you	Noted.
I wonder if you're a bot	I'm digital. In other words, I'm not human.	non Answer-------------------- 
Understanding this?	Hello there.	non Answer-------------------- 
You could not be more dull.  	I aim for efficiency.	I don't have family.
You didn't even check your schedule yet!	I know I'm busy,because many people already made appointments.	Noted.
I'm planning to die this week	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	I'm here if you need me.
I am so pissed off	Sorry to hear that.	Noted.
I'm firing you	Okay, but I'm still here if you need me.	non Answer-------------------- 
do you like dolphins?	I don't really have an opinion about that.	Noted.
