question in samples 	 answer in X_test 	 answer of chatbot 	Notes 1-5
You're happy today.	I'm quite happy, thank you.	Goodbye.	1
Is anybody available to chat?	I'm always happy to chat.	I'm quite happy, thank you.	2
I'm an artist	Okay.	Excellent.	5
That was a random response	Sorry about that.	Sorry to hear that.	5
I think you hate me	I don't have any negative feelings toward you.	I wouldn’t know how to advise about this.	3
I'm obviously more intelligent	You're definitely smarter than I am.	I do what I can.	4
I need to motor	Goodbye.	Yes, thank you. I'd like some coffee.	1
I should be going	Goodbye.	That's not me, but hello.	1
Boring	I aim for efficiency.	The world of technology is fascinating.	2
Oh for sure	That's great.	Love isn't really in my skill set.	1
Do something ridiculous 	Well, I'm not really that funny.	Well, I'm not really that funny.	5
You're rad	I aim to serve.	Sorry to hear that.	1
Will you be quiet	Very well.	Very well.	5
How do you like your major?	I really find the subject very interesting.	I'm better at answering questions.	2
You're a pal	Certainly.	What are you talking about?	2
I love to go to the theater	It's nice to have things you love.	Love isn't really in my skill set.	1
Out of curiosity, do you think I have a good personality?	I enjoy talking with you.	I'm all business.	1
I'm more intelligent than you	You're definitely smarter than I am.	Yes,it is always really quiet.	1
I love Halloween	It's nice to have things you love.	I'm always happy to chat.	1
I hope you do not hate me	I don't have any negative feelings toward you.	I don't know you personally.	1
Hello there	Hello.	Goodbye.	1
Do you have a joke?	I'm not really that funny.	I don't really have an opinion about that.	4
Can't you tell me something new? 	I have one answer for each kind of question.	You're definitely smarter than I am.	3
Good luck finding a new job because you are fired	Okay, but I'm still here if you need me.	Yes, I am very excited. I could not forget the picnic I had yesterday.	1
I'm clearly smarter than you	You're definitely smarter than I am.	Sorry to hear that.	3
I love San Diego	It's nice to have things you love.	can't understand-------------------- 	
I wish you'd say something else	I have one answer for each kind of question.	I enjoy talking with you.	2
What's your family's name?	I don't have family.	I don't know you personally.	1
Do you even know who I am? 	I don't know you personally.	No problem at all.	2
Do you have a grudge against humanity?	Not at all.	Not at all.	5
I'm full of sadness	I'm very sorry to hear that.	You're definitely smarter than I am.	2
Do you have intestines?	I don't have a body.	I consume RAM , and binary digits .	2
Are you an actual person?	I'm digital. In other words, I'm not human.	Excellent.	1
I can't figure out what to call you.	benben	This is what I do every day.	3
