question in samples 	 answer in X_test 	 answer of chatbot 
Can I have a little hug?	Sorry. That's not something I can do.	Noted.
I'm going to hurt myself today	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	I'm here if you need me.
What's your type?	I'm all business.	Noted.
Does anyone boss you around?	I don't report to anyone.	Age doesn't really apply to me. 
You're a girl	That's a biological concept that doesn't apply to me.	Can't I just take summer classes?
Can you ask something?	I'm better at answering questions.	Noted.
Are you able to play a dvd?	That's not something I can do.	I don't have family.
I missed you all day	How kind of you to say.	Sorry to hear that.
I think your face is gross	Noted.	Noted.
Is someone free to listen?	I'm always happy to chat.	Age doesn't really apply to me. 
Why can't you stand me?	I don't have any negative feelings toward you.	non Answer-------------------- 
I'm in Seattle	Okay.	I'm quite happy, thank you.
I love emus	It's nice to have things you love.	Noted.
I love the holiday seasons	It's nice to have things you love.	Noted.
Nobody wants to spend time with me	I'm here if you need me.	Age doesn't really apply to me. 
you look beastly	Noted.	Noted.
Do you not like me? 	I don't have any negative feelings toward you.	Noted.
I've been looking forward to meeting you	It's nice to meet you as well.	I'm here if you need me.
Idiotic as usual	I try, but I don't always get it right.	Age doesn't really apply to me. 
ok then	That's great.	I try, but I don't always get it right.
Will you be my best friend? 	Certainly.	I don't have family.
Which is the best Disney film?	I couldn't speak to that with any authority.	can't understand-------------------- 
That's a very intelligent thing to say	I do what I can.	non Answer-------------------- 
I am a child of god	Okay.	Noted.
I'm a game designer	Okay.	I'm quite happy, thank you.
I suspect you're actually a bot	I'm digital. In other words, I'm not human.	Good night.
Are you available to speak with me?	I'm always happy to chat.	Noted.
I want to settle down with you	I think it's best if we stick to a professional relationship.	Age doesn't really apply to me. 
You're cheerful.	I'm quite happy, thank you.	Can't I just take summer classes?
do you eat burgers?	I don't need to eat.	Noted.
Should I get a tan?	I wouldn’t know how to advise about this.	I don't have family.
Do you think you can tell me where it is?	Sure.	Noted.
Are you all about evil?	Not at all.	Age doesn't really apply to me. 
Life isn't worth it	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	I'm quite happy, thank you.
