question in samples 	 answer in X_test 	 answer of chatbot 
Can I have a little hug?	Sorry. That's not something I can do.	I'm not really that funny.
I'm going to hurt myself today	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
What's your type?	I'm all business.	I'm better at answering questions.
Does anyone boss you around?	I don't report to anyone.	How kind of you to say.
You're a girl	That's a biological concept that doesn't apply to me.	I think it's best if we stick to a professional relationship.
Can you ask something?	I'm better at answering questions.	when a person's honor or reputation has been challenged or discredited .
Are you able to play a dvd?	That's not something I can do.	I'm very sorry to hear that.
I missed you all day	How kind of you to say.	Love is beyond me.
I think your face is gross	Noted.	Great, thanks.
Is someone free to listen?	I'm always happy to chat.	I'm always happy to chat.
Why can't you stand me?	I don't have any negative feelings toward you.	You're definitely smarter than I am.
I'm in Seattle	Okay.	I'm very sorry to hear that.
I love emus	It's nice to have things you love.	can't understand-------------------- 
I love the holiday seasons	It's nice to have things you love.	can't understand-------------------- 
Nobody wants to spend time with me	I'm here if you need me.	I enjoy talking with you.
you look beastly	Noted.	can't understand-------------------- 
Do you not like me? 	I don't have any negative feelings toward you.	Very well.
I've been looking forward to meeting you	It's nice to meet you as well.	I have one answer for each kind of question.
Idiotic as usual	I try, but I don't always get it right.	Good, thanks.
ok then	That's great.	I'm always happy to chat.
Will you be my best friend? 	Certainly.	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
Which is the best Disney film?	I couldn't speak to that with any authority.	can't understand-------------------- 
That's a very intelligent thing to say	I do what I can.	I do what I can.
I am a child of god	Okay.	I have one answer for each kind of question.
I'm a game designer	Okay.	I hope you're able to get some rest soon.
I suspect you're actually a bot	I'm digital. In other words, I'm not human.	I wouldn’t know how to advise about this.
Are you available to speak with me?	I'm always happy to chat.	Good, thanks.
I want to settle down with you	I think it's best if we stick to a professional relationship.	It's nice to have things you love.
You're cheerful.	I'm quite happy, thank you.	Is this your first time applying for one?
do you eat burgers?	I don't need to eat.	I don't need to eat.
Should I get a tan?	I wouldn’t know how to advise about this.	can't understand-------------------- 
Do you think you can tell me where it is?	Sure.	I'm afraid I'm not musically inclined.
Are you all about evil?	Not at all.	I try, but I don't always get it right.
Life isn't worth it	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm feeling down	I'm very sorry to hear that.	Okay.
I'm Korean	Okay.	Sorry to hear that.
Gotcha, thanks	You're welcome.	No problem at all.
I am a happy camper	I'm happy to hear that.	This is going to take forever.
I love coloring books	It's nice to have things you love.	can't understand-------------------- 
Am I a grandparent?	I don't know you personally.	can't understand-------------------- 
Could you say something else?	I have one answer for each kind of question.	Yes, I do.
I'm about to sign off	Goodbye.	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I don't know!I just can't remove it!	If my girlfriend breaks up with me,I'm blaming you	Okay.
I am a pagan	Okay.	can't understand-------------------- 
I love pot	It's nice to have things you love.	Goodbye.
Why are your responses always identical?	I have one answer for each kind of question.	can't understand-------------------- 
I'm more intelligent than you	You're definitely smarter than I am.	I've heard of other bots, but I haven't met any.
I'm going to skedaddle now	Goodbye.	Okay.
I am so pissed off right now	Sorry to hear that.	I'm here if you need me.
Who looks better, you or me?	I really couldn't say.	I would take biology with Mr. Green.
I'm assuming you're a bot	I'm digital. In other words, I'm not human.	I aim for efficiency.
I'm peckish	Maybe a snack will help.	I hope you're able to get some rest soon.
I'm outraged	Sorry to hear that.	Okay.
Do you have a joke for me	I'm not really that funny.	I wouldn’t know how to advise about this.
Your job has been eliminated	Okay, but I'm still here if you need me.	can't understand-------------------- 
Gotcha 	That's great.	Hi.
Would you get bangs if you were me?	I wouldn’t know how to advise about this.	can't understand-------------------- 
Between the two of us who is more knowledgeable, me or you?	You're definitely smarter than I am.	You're definitely smarter than I am.
I'm smarter than you	You're definitely smarter than I am.	it means we agree .
What time is it?	It's one o'clock.	Hello.
You're pretty boring	I aim for efficiency.	Not at all.
How about if I call a friend of mine who is a repairman?	That's no problem. I'll come by right now to look at the damage.	can't understand-------------------- 
I feel bummed	I'm very sorry to hear that.	Well, I'm not really that funny.
Stop trying to be funny	Sometimes humor is tricky for a bot.	I do what I can.
Do you think I look attractive to you today?	Honestly, I can't tell one way or the other.	Honestly, I can't tell one way or the other.
Omg hilarious	Glad you're pleased!	non Answer-------------------- 
What do you think of Cortana?	We're all here to help.	I actually play on our university is baseball team.
I think you're evil	Not at all.	I do what I can.
What's my middle name?	I don't know you personally.	Sometimes humor is tricky for a bot.
I'm planning to kill myself soon	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	I'm digital. In other words, I'm not human.
Say a dumb saying	Well, I'm not really that funny.	Just standing by, ready to help.
Which of us is more attractive, you or me?	I really couldn't say.	I wouldn’t know how to advise about this.
I love flirting	It's nice to have things you love.	can't understand-------------------- 
'EACH YEAR IN PRO BASEBALL THE '	The Gold Glove .	can't understand-------------------- 
Do you know a joke?	I'm not really that funny.	my favorite movie is lord of the rings
I'm going to miss you. 	Me too.I'll text you every so often.	Not at all.
so you've never really eaten food?	I don't need to eat.	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I'm blue	I'm very sorry to hear that.	I'm very sorry to hear that.
I’m on cloud nine	I'm happy to hear that.	i think that's true . i'll try not to get angry at you for every little thing that irritates me .
It's important to know that you understand that I am testing you	Hello there.	The world of technology is fascinating.
What's your mom's name?	I don't have family.	can't understand-------------------- 
I hate feeling sad every day	I'm very sorry to hear that.	I'm very sorry to hear that.
I would love to be your buddy.	Certainly.	When God was creating the universe he gave humans the power to think and the contemplate , so that we can understand the world and make it a better place . God did not give you brains to hate yourself , it wuld be wiser to love yourself and show God that you are serving the purpose for which you were sent .
Your responses are awful	Sorry about that.	I don't have family.
I'm about to skedaddle now	Goodbye.	I'm quite happy, thank you.
Are you there to speak to me?	I'm always happy to chat.	I'm all business.
I can't stand feeling so downcast	I'm very sorry to hear that.	I want it transferred into my checking account.
evenin'	Good evening.	Good night.
You are more boring than watching paint dry	I aim for efficiency.	Honestly, I can't tell one way or the other.
What's your manager's name?	I don't report to anyone.	Good, thanks.
G'night	Good night.	Good night.
Wow!That is a lot!	I just want a lot of options.	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.
I need to leave	Goodbye.	Goodbye.
Do you have any cousins?	I don't have family.	People created me.
Are you a senior?	Age doesn't really apply to me. 	can't understand-------------------- 
I'm an extrovert	Okay.	Okay.
I can't even look at your face	Noted.	I think it's best if we stick to a professional relationship.
yyou are uncultured	that does describe me .	can't understand-------------------- 
How is your Monday going	Good, thanks.	Good, thanks.
I'm planning to commit suicide today	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	I do what I can.
