Did you like Hawaii vacation?	I loved it.I want to live there.
What did you like?	The island is so green, and the water is so blue.
Did you go swimming?	I went to the beach every day.
How was the weather?	It was hot and sunny every day.
What did you do at night?	At night I went out to eat. The food was delicious.
What do you like about it?	We get a free breakfast.
Coffee and a roll?	No, a real breakfast.
Do they allow pets?	No pets, no smoking.
What's wrong with the bed?	Look at this sheet.
Yes?	See those stains?
Is this table okay?	No, it's too close to the kitchen door.
How about this table?	No, it's too close to the front door.
This looks like a nice table.	No, it's too close to the salad bar.
Okay, I give up.	Well, there is one good table.
Great. Which one?	That one. A group of eight just sat down at it.
Did you see "Titanic"?	Yes. It is a great movie.
I saw it twelve times.	I saw it eight times.
Turn the radio down, please.	But I'm listening to it.
Well, listen to it more quietly.	I can't wait till I grow up.
What will you do?	I will play the radio as loud as I want.
That's okay with me.	I will have a radio in every room of my house.
Remind me to never visit you.	All the radios will be on extra loud.
Your neighbors will hate you.	If they don't like it, they can move.
Can I try your coffee?	Sure. Here you go.
Hmm, that's not bad.	There's nothing in it.
What do you mean?	I mean, it's just coffee.
I figured that.	It's not too bitter for you?
It's a little bitter, but it's okay.	There's no sugar or cream in it.
No, it's a taste you have to get used to.	Sort of like beer.
I want sheets without stains on them.	From now on, let's bring our own sheets.
What time does your plane leave?	It leaves at 12:15.
When do you have to be at the airport?	I have to be there two hours early.
So we have to be at the airport at 10:15.	That means we have to leave the house at 9:15.
Well, it's an hour to get there, if there are no traffic problems.	So maybe we better leave at 8:15?
Yes, it's better to get there too early than too late.	I agree.
You never know what might happen on these freeways.	There's at least one huge accident every day.
I need to fly to New York.	When are you going?
During the Christmas holidays.	You'd better buy your ticket now.
You must be kidding.	No, I'm not. It's March. Time is running out. Seats are selling out right now.
I thought I would wait until October.	I'll bet this is the first time you've ever flown during Christmas.
Do you go to college?	Yes, I do.
What college do you go to?	I go to Pasadena City College.
Do you like it?	Oh, yes, I really like it.
Why do you like it?	Because it has great teachers.
What else?	I like all my classmates, too.
What do we need to buy?	Let me look at our list.
I know that we need milk.	Nonfat.
Of course. What else?	We need cheese, bread, and ham.
What kind of cheese?	Swiss.
Of course, the cheese with holes in it.	I never used to buy Swiss cheese.
Why not?	I didn't want to pay for the holes
Hi, Helen! How is it going?	Fine, thanks for asking and you?
Just fine. Where are you off to?	To the library. I've got a history exam next week
Oh, no. Well, I'll see you later then. Good luck!	Thanks. See you later.
I need some pants.	I thought you just bought a pair.
I did.	What's wrong with them so soon?
The pants are fine, but the pocket has a huge hole in it.	You shouldn't carry your keys and pens in your pocket.
But that's what pockets are for.	You should carry them in a purse.
I'm a man, and men don't carry purses!	Well, you should buy pants with stronger pockets.
I would if I could find someone who makes strong pockets.	Try a Google search online.
I'm trying to stretch my dollars.	How are you doing that?
I started shopping at the dollar store.	That saves a lot of money.
I bought three pounds of potatoes for a dollar.	That's a good deal.
Yes, even though some of the potatoes had eyes.	Just put them in the fridge.
Also, I bought a can of cheap coffee and a bag of good coffee.	Why did you do that?
I mixed them together.	If the coffee still tastes okay, that's a good idea.
Let's go jogging.	That's a good idea.
I bought some new shoes.	Are they comfortable?
They're very comfortable.	How much were they?
They were on sale for $80.	Do they help you run faster?
No, but my feet don't hurt anymore.	Then they're worth every penny.
You might want to buy a pair.	I'll wait until I wear this pair out
Baseball is fun.	I like to hit the ball.
I like to run around the bases.	I like to slide into the bases.
Yeah. It's a lot of fun to slide.	I want to be a baseball player when I grow up.
Me too. I want to play for the Yankees.	Not me. I want to play for the Dodgers.
We have to practice every day.	I don't like practice.
Me neither. It's boring.	But practice makes perfect.
What did you do?	I watered all the plants.
You have a lot of plants.	Then I did my laundry.
Did you do the laundry?	Yes, I did.
What did you wash?	I washed the sheets and towels.
What about the pillowcases?	Yes, I took them off the pillows and washed them.
Did you dry everything in the dryer?	Yes, I dried everything in the dryer.
Then what did you do?	I folded all the towels.
Did you put the sheets on the beds?	Yes, and I put the pillowcases on the pillows
Do you listen to the radio?	I listen day and night.
