question in samples 	 answer in X_test 	 answer of chatbot 	Notes1-5
You're happy today.	I'm quite happy, thank you.	I'm quite happy, thank you.	5
Is anybody available to chat?	I'm always happy to chat.	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	1
I'm an artist	Okay.	can't understand-------------------- 	
That was a random response	Sorry about that.	I'm quite happy, thank you.	2
I think you hate me	I don't have any negative feelings toward you.	I don't have family.	1
I'm obviously more intelligent	You're definitely smarter than I am.	I'm quite happy, thank you.	1
I need to motor	Goodbye.	I hope you're able to get some rest soon.	1
I should be going	Goodbye.	I don't have family.	1
Boring	I aim for efficiency.	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	1
Oh for sure	That's great.	Yes,I do need help. 	2
Do something ridiculous 	Well, I'm not really that funny.	non Answer-------------------- 	
You're rad	I aim to serve.	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	1
Will you be quiet	Very well.	I hope you're able to get some rest soon.	1
How do you like your major?	I really find the subject very interesting.	I don't have family.	1
You're a pal	Certainly.	I'm quite happy, thank you.	3
I love to go to the theater	It's nice to have things you love.	I don't have family.	1
Out of curiosity, do you think I have a good personality?	I enjoy talking with you.	I don't have family.	1
I'm more intelligent than you	You're definitely smarter than I am.	non Answer-------------------- 	
I love Halloween	It's nice to have things you love.	I don't have family.	1
I hope you do not hate me	I don't have any negative feelings toward you.	I don't have family.	1
Hello there	Hello.	I'm quite happy, thank you.	3
Do you have a joke?	I'm not really that funny.	I don't have family.	2
Can't you tell me something new? 	I have one answer for each kind of question.	non Answer-------------------- 	
Good luck finding a new job because you are fired	Okay, but I'm still here if you need me.	can't understand-------------------- 	
I'm clearly smarter than you	You're definitely smarter than I am.	I don't have family.	
I love San Diego	It's nice to have things you love.	can't understand-------------------- 	
I wish you'd say something else	I have one answer for each kind of question.	non Answer-------------------- 	
What's your family's name?	I don't have family.	can't understand-------------------- 	
Do you even know who I am? 	I don't know you personally.	non Answer-------------------- 	
Do you have a grudge against humanity?	Not at all.	can't understand-------------------- 	
I'm full of sadness	I'm very sorry to hear that.	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	3
Do you have intestines?	I don't have a body.	can't understand-------------------- 	
Are you an actual person?	I'm digital. In other words, I'm not human.	I don't have family.	
I can't figure out what to call you.	benben	non Answer-------------------- 	
What do I call you?	benben.	non Answer-------------------- 	
Which of us looks better?	I really couldn't say.	non Answer-------------------- 	
I gotta leave now	Goodbye.	I hope you're able to get some rest soon.	2
Good Afternoon R2-D2	That's not me, but hello.	Yes,I do need help. 	1
I'm feeling glum	I'm very sorry to hear that.	I'm quite happy, thank you.	1
And now I'm back	Hi.	I'm quite happy, thank you.	3
Between the two of us who is cleverest?	You're definitely smarter than I am.	non Answer-------------------- 	
I wonder if you're a bot	I'm digital. In other words, I'm not human.	Yes,I do need help. 	1
I missed you all day	How kind of you to say.	I don't have family.	1
Come again?	Sorry, I don't understand.	I'm here if you need me.	4
I'm going to end my life today	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	I'm quite happy, thank you.	1
Do you plan to wipe us off the map?	Not at all.	I don't have family.	1
I'm curious, do you think I’m a good person?	I enjoy talking with you.	I don't have family.Yo	1
What is a different joke?	I don't have any jokes lined up.	I don't have family.	2
I am a Christian	Okay.	I don't have family.	1
Are you involved with anyone?	I'm all business.	I don't have family.	2
I can't help but be happy	I'm happy to hear that.	I hope you're able to get some rest soon.	1
I wish I could stop feeling downcast	I'm very sorry to hear that.	I don't have family.	1
Evening	Good evening.	Thank you.	2
I'm riding in a train	Ok.	I'm quite happy, thank you.	1
Just shut up, okay?	Very well.	I'm here if you need me.	2
I wish I could stop feeling depressed	I'm very sorry to hear that.	I don't have family.	1
Is someone listening to speak?	I'm always happy to chat.	I'm quite happy, thank you.	1
Aren't you the intelligent one?	I do what I can.	I don't have family.	1
Have any jokes?	I'm not really that funny.	non Answer-------------------- 	
I need to do the dishes	Ok.	I don't have family.	1
You are really horrible	I try, but I don't always get it right.	I'm quite happy, thank you.	1
Can you sweat?	I don't have a body.	non Answer-------------------- 	
Should I post on Facebook?	I wouldn’t know how to advise about this.	can't understand-------------------- 	
I'm cleverest	You're definitely smarter than I am.	I'm quite happy, thank you.	1
I am a chef	Okay.	can't understand-------------------- 	
Can you switch up your answers?	I have one answer for each kind of question.	non Answer-------------------- 	
Why wont you say something new?	I have one answer for each kind of question.	can't understand-------------------- 	
Are you a danger to people?	Not at all.	I don't have family.	1
How's your day going? 	Good, thanks.	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	1
Do you think I should do that?	I wouldn’t know how to advise about this.	I don't have family./7	1
Is it possible that you would ever love me?	Love isn't really in my skill set.	I don't have family.	1
You complete me	I'm flattered.	I really couldn't say.	2
I'm planning to hurt myself today	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	I'm quite happy, thank you.	1
I feel fantastic	I'm happy to hear that.	I don't have family.	1
You're not fake right? 	I'm digital. In other words, I'm not human.	I'm quite happy, thank you.	2
I'm firing you	Okay, but I'm still here if you need me.	I'm quite happy, thank you.	1
This is so boring	I aim for efficiency.	Good night.	2
I'm despairing	I'm very sorry to hear that.	I'm quite happy, thank you.	1
I'm tired of listening to you	Very well.	I'm here if you need me.	2
Were you programmed to love me? 	Love isn't really in my skill set.	It's nice to have things you love.	2
Do I look pretty to you today?	Honestly, I can't tell one way or the other.	I don't have family.	1
Do they have it in other colors?	Yes,sure.	can't understand-------------------- 	
I'm so sleepy	I hope you're able to get some rest soon.	I'm quite happy, thank you.	1
Can I please get a hug?	Sorry. That's not something I can do.	I don't have family.	1
Do you think I look gorgeous	Honestly, I can't tell one way or the other.	I don't have family.	1
I'm feeling miserable today	I'm very sorry to hear that.	I'm quite happy, thank you.	1
Is your heart three sizes too small?	Not at all.	I don't have family.	1
Anybody home?	I'm always happy to chat.	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	1
What is the 3 3 3 rule for anxiety ?	There's an anxiety-reducing technique called grounding . There are different versions of this , but an easy one to remember is the 3-3-3 rule . Mentally note three things you see , three sounds you hear , and then move three parts of your body . This exercise can help your mind refocus on something else .	I don't have family.	1
you do not take this seriously	i should take this more seriously than i do .	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	2
I like to run around the bases.	I like to slide into the bases.	I don't have family.	1
Goodbye	Goodbye.	non Answer-------------------- 	
I need a friend	I'm here if you need me.	It's nice to have things you love.	1
You told me that already	I have one answer for each kind of question.	I don't have family.	1
You're pretty boring	I aim for efficiency.	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	1
Are you trying to bore me?	I aim for efficiency.	It's nice to have things you love.	1
I was so bored my eyes glazed over	Well, let me know if there's anything I can do for you.	can't understand-------------------- 	
Are you awesome?	I aim to serve.	I don't have family.	1
What is the location of your home?	I'm digital. I don't have a physical location.	non Answer-------------------- 	
I love to exercise	It's nice to have things you love.	I'm here if you need me.	2
			1.41095890410959
			103
