question in samples 	 answer in X_test 	 answer of chatbot 	Notes1-5
You're happy today.	I'm quite happy, thank you.	Goodbye.	3
Is anybody available to chat?	I'm always happy to chat.	I'm quite happy, thank you.	2
I'm an artist	Okay.	can't understand-------------------- 	
That was a random response	Sorry about that.	Sorry to hear that.	5
I think you hate me	I don't have any negative feelings toward you.	I wouldn’t know how to advise about this.--	2
I'm obviously more intelligent	You're definitely smarter than I am.	I do what I can.	1
I need to motor	Goodbye.	Yes, thank you. I'd like some coffee.	1
I should be going	Goodbye.	That's not me, but hello.	2
Boring	I aim for efficiency.	The world of technology is fascinating.	1
Oh for sure	That's great.	Love isn't really in my skill set.	1
Do something ridiculous 	Well, I'm not really that funny.	Well, I'm not really that funny.	5
You're rad	I aim to serve.	Sorry to hear that.	1
Will you be quiet	Very well.	Very well.	5
How do you like your major?	I really find the subject very interesting.	I'm better at answering questions.	2
You're a pal	Certainly.	What are you talking about?	2
I love to go to the theater	It's nice to have things you love.	Love isn't really in my skill set.	2
Out of curiosity, do you think I have a good personality?	I enjoy talking with you.	I'm all business.	4
I'm more intelligent than you	You're definitely smarter than I am.	Yes,it is always really quiet.	2
I love Halloween	It's nice to have things you love.	I'm always happy to chat.	2
I hope you do not hate me	I don't have any negative feelings toward you.	I don't know you personally.	3
Hello there	Hello.	Goodbye.	1
Do you have a joke?	I'm not really that funny.	I don't really have an opinion about that.	2
Can't you tell me something new? 	I have one answer for each kind of question.	You're definitely smarter than I am.	2
Good luck finding a new job because you are fired	Okay, but I'm still here if you need me.	can't understand-------------------- 	
I'm clearly smarter than you	You're definitely smarter than I am.	Sorry to hear that.	2
I love San Diego	It's nice to have things you love.	can't understand-------------------- 	
I wish you'd say something else	I have one answer for each kind of question.	I enjoy talking with you.	4
What's your family's name?	I don't have family.	can't understand-------------------- 	
Do you even know who I am? 	I don't know you personally.	No problem at all.	1
Do you have a grudge against humanity?	Not at all.	can't understand-------------------- 	
I'm full of sadness	I'm very sorry to hear that.	You're definitely smarter than I am.	2
Do you have intestines?	I don't have a body.	can't understand-------------------- 	
Are you an actual person?	I'm digital. In other words, I'm not human.	Excellent.	1
I can't figure out what to call you.	benben	I'm digital. In other words, I'm not human.	3
What do I call you?	benben.	benben.	5
Which of us looks better?	I really couldn't say.	Mary Shelley .	3
I gotta leave now	Goodbye.	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	2
Good Afternoon R2-D2	That's not me, but hello.	That's not me, but hello.	5
I'm feeling glum	I'm very sorry to hear that.	I hope you're able to get some rest soon.	2
And now I'm back	Hi.	Goodbye.	1
Between the two of us who is cleverest?	You're definitely smarter than I am.	I really couldn't say.	4
I wonder if you're a bot	I'm digital. In other words, I'm not human.	As soon as i get enough money for my robot body .	2
I missed you all day	How kind of you to say.	I'm always happy to chat.	2
Come again?	Sorry, I don't understand.	That's not me, but hello.	2
I'm going to end my life today	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	I'm digital. In other words, I'm not human.	1
